fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"14192","Des Moines","Northeast Bank","Minneapolis","MN","55413","Commercial Bank","State","16659","0689357","","","09dec1996"
"14194","Des Moines","Farmers State Bank","Algona","IA","50511","Commercial Bank","State","08760","0208440","","","09dec1996"
"14199","Pittsburgh","DNB First, National Association","Downingtown","PA","19335","Commercial Bank","National","07464","0071318","","","11dec1996"
"14201","Des Moines","KCB Bank","Kearney","MO","64060","Commercial Bank","State","09793","0701950","","","11dec1996"
"14204","Topeka","City Bank and Trust Company - Crete, NE","Crete","NE","68333","Commercial Bank","State","05396","0079855","","","13dec1996"
"14205","Cincinnati","The First National Bank of McConnelsville","McConnelsville","OH","43756","Commercial Bank","National","06637","0044929","","","13dec1996"
"14210","Dallas","Community 1st Bank Las Vegas","Las Vegas","NM","87701","Commercial Bank","State","16854","0768458","","","12dec1996"
"14211","Dallas","The National Bank of Andrews","Andrews","TX","79714","Commercial Bank","National","17603","0488653","","","12dec1996"
"14212","Dallas","First Arkansas Bank and Trust","Jacksonville","AR","72076","Commercial Bank","State","16849","0466240","","","13dec1996"
"14214","Seattle","The State Bank of Townsend","Townsend","MT","59644","Commercial Bank","State","01114","0566953","","","16dec1996"
"14218","Chicago","Bank Of Lake Mills","Lake Mills","WI","53551","Commercial Bank","State","08695","0477349","","","18dec1996"
"14220","Chicago","Mazon State Bank","Mazon","IL","60444","Commercial Bank","State","16179","0765046","","","18dec1996"
"14221","Des Moines","Midwest Bank","Detroit Lakes","MN","56501","Commercial Bank","State","09737","0806958","","","18dec1996"
"14223","Atlanta","The Citizens Bank","Greensboro","AL","36744","Commercial Bank","State","22358","0571135","","","20dec1996"
"14224","Seattle","D. L. Evans Bank","Burley","ID","83318","Commercial Bank","State","11666","0543262","","","23dec1996"
"14225","Des Moines","Principal Bank","Des Moines","IA","50392","Savings Bank","Federal","34507","","14225","",""
"14230","Atlanta","The First National Bank of Talladega","Talladega","AL","35160","Commercial Bank","National","02832","0257233","","","24dec1996"
"14233","Chicago","First Community Bank","Milton","WI","53563","Commercial Bank","State","11225","0742542","","","20dec1996"
"14238","Chicago","Lake Forest Bank and Trust Company","Lake Forest","IL","60045","Commercial Bank","State","27589","1917301","","","31dec1996"
"14239","Chicago","Libertyville Bank and Trust Company","Libertyville","IL","60048","Commercial Bank","State","34073","2339795","","","31dec1996"
"14240","Topeka","Communication Federal Credit Union","Oklahoma City","OK","73116","Credit Union","Federal","","","","03454","31dec1996"
"14241","Indianapolis","Superior National BandT Company","Hancock","MI","49930","Commercial Bank","National","05058","0245557","","","30dec1996"
"14246","Chicago","The Lemont National Bank","Lemont","IL","60439","Commercial Bank","National","03693","0480330","","","02jan1997"
"14248","Chicago","Illini State Bank","Oglesby","IL","61348","Commercial Bank","State","10788","0180845","","","07jan1997"
"14249","Chicago","TSB Bank","Lomira","WI","53048","Commercial Bank","State","17208","0186548","","","08jan1997"
"14250","Topeka","Stockmans Bank - Altus, OK","Gould","OK","73544","Commercial Bank","State","12285","0284556","","","07jan1997"
"14252","Boston","The Northampton Co-operative Ban ","Northampton","MA","01060","Commercial Bank","State","26454","0149271","","","06jan1997"
"14254","Des Moines","Clarke County State Bank","Osceola","IA","50213","Commercial Bank","State","14980","0065241","","","09jan1997"
"14255","Des Moines","United Community Bank","Milford","IA","51351","Commercial Bank","State","13656","0884648","","","09jan1997"
"14258","Atlanta","Independent Banker's Bank of Florida","Orlando","FL","32801","Commercial Bank","State","24642","0190639","","","10jan1997"
"14261","Chicago","1st State Bank of Mason City","Mason City","IL","62664","Commercial Bank","State","22543","0170640","","","10jan1997"
"14265","Boston","PRIME BANK","Orange","CT","06477","Commercial Bank","State","32836","1439054","","","10jan1997"
"14267","Cincinnati","WATERFORD COMMERCIAL and SAVI","Waterford","OH","45786","Commercial Bank","State","08397","0324229","","","17jan1997"
"14268","Dallas","Summit Bank","Arkadelphia","AR","71923","Commercial Bank","State","34433","2505787","","","16jan1997"
"14270","Indianapolis","Range Bank, N.A.","Negaunee","MI","49866","Commercial Bank","National","05072","0355559","","","21jan1997"
"14275","Topeka","Public Service Employees Credit Union","Denver","CO","80224","Credit Union","State","","","","64778","22jan1997"
"14276","Des Moines","CornerStone State Bank","Montgomery","MN","56069","Commercial Bank","State","21525","0914853","","","23jan1997"
"14279","Topeka","Centris Federal Credit Union","Omaha","NE","68154","Credit Union","Federal","","","","00028","24jan1997"
"14280","Boston","DEDHAM INSTITUTION","Dedham","MA","02026","Savings Bank","State","23620","0193809","","","27jan1997"
"14281","Boston","PEOPLES SAVINGS BANK","Holyoke","MA","01040","Savings Bank","State","90213","0613400","","","27jan1997"
"14283","New York","Cattaraugus County Bank","Little Valley","NY","14755","Commercial Bank","State","12959","0254504","","","28jan1997"
"14285","Chicago","Hinsdale Bank and Trust Company","Hinsdale","IL","60521","Commercial Bank","State","33849","2119773","","","28jan1997"
"14287","Atlanta","Farmers State Bank","Lincolnton","GA","30817","Commercial Bank","State","00879","0773032","","","29jan1997"
"14288","Cincinnati","MIDDLEFIELD BANKING CO","Middlefield","OH","44062","Commercial Bank","State","13716","0177920","","","29jan1997"
"14289","Topeka","BANKWEST - Goodland, KS","Goodland","KS","67735","Commercial Bank","State","10502","0989758","","","30jan1997"
"14291","Dallas","Happy State Bank","Happy","TX","79042","Commercial Bank","State","10359","0466857","","","28jan1997"
"14299","Dallas","Ouachita Independent Bank","Monroe","LA","71201","Commercial Bank","State","34332","2454607","","","04feb1997"
"14301","Topeka","First Heritage Bank","Centralia","KS","66415","Commercial Bank","State","04636","0922157","","","06feb1997"
"14304","Des Moines","City State Bank","Norwalk","IA","50211","Commercial Bank","State","14410","0252041","","","06feb1997"
"14305","Atlanta","Planters and Citizens Bank","Camilla","GA","31730","Commercial Bank","State","10072","0132938","","","07feb1997"
"14307","Indianapolis","Wanigas Credit Union","Saginaw","MI","48601","Credit Union","State","","","","68578","10feb1997"
"14309","New York","Mahopac Bank","Mahopac","NY","10541","Commercial Bank","State","07153","0521804","","","06feb1997"
"14310","Seattle","Spokane Teachers Credit Union","Spokane","WA","99205","Credit Union","State","","","","68203","10feb1997"
"14311","Seattle","MBank","Gresham","OR","97030","Commercial Bank","State","34093","2370994","","","10feb1997"
"14315","Chicago","The Harvard State Bank","Harvard","IL","60033","Commercial Bank","State","09079","0800134","","","11feb1997"
"14316","Chicago","Union State Bank","Kewaunee","WI","54216","Commercial Bank","State","14790","0386142","","","11feb1997"
"14317","Des Moines","Employers Mutual Casualty Company","Des Moines","IA","50309","Insurance Company","None","","","","","12feb1997"
"14318","Topeka","Anadarko Bank and Trust Company - Anadarko, OK","Anadarko","OK","73001","Commercial Bank","State","15354","0042055","","","13feb1997"
"14320","Topeka","First National Bank - Antlers, OK","Antlers","OK","74523","Commercial Bank","State","14331","0296456","","","13feb1997"
"14326","Indianapolis","TRI-COUNTY BANK","Brown City","MI","48416","Commercial Bank","State","00977","0695349","","","14feb1997"
"14331","Chicago","North Shore Community Bank and Trust Company","Wilmette","IL","60091","Commercial Bank","State","33935","2239288","","","24feb1997"
"14332","Cincinnati","FARMERS and MERCHANTS BANK","Adamsville","TN","38310","Commercial Bank","State","09188","0322757","","","26feb1997"
"14334","Des Moines","Premier Bank","Rock Valley","IA","51247","Commercial Bank","State","34384","2539960","","","25feb1997"
